# column 0 is pixels, column 1 is signal
3.280000000000000000e+02,1.877847222222222001e+01
3.290000000000000000e+02,1.836180555555557348e+01
3.300000000000000000e+02,1.911979166666666785e+01
3.310000000000000000e+02,1.855694444444446134e+01
3.320000000000000000e+02,1.994618055555558911e+01
3.330000000000000000e+02,1.876527777777778638e+01
3.340000000000000000e+02,1.903020833333331652e+01
3.350000000000000000e+02,1.901249999999999929e+01
3.360000000000000000e+02,1.855416666666665293e+01
3.370000000000000000e+02,1.871909722222219585e+01
3.380000000000000000e+02,1.858750000000001279e+01
3.390000000000000000e+02,1.810833333333334849e+01
3.400000000000000000e+02,1.919201388888891557e+01
3.410000000000000000e+02,1.876701388888890065e+01
3.420000000000000000e+02,1.978194444444446987e+01
3.430000000000000000e+02,1.971076388888890563e+01
3.440000000000000000e+02,1.908055555555557703e+01
3.450000000000000000e+02,1.880833333333332646e+01
3.460000000000000000e+02,1.911041666666667638e+01
3.470000000000000000e+02,1.934930555555559195e+01
3.480000000000000000e+02,1.904930555555555216e+01
3.490000000000000000e+02,1.936111111111110006e+01
3.500000000000000000e+02,1.877534722222221575e+01
3.510000000000000000e+02,1.814618055555554221e+01
3.520000000000000000e+02,1.819965277777781054e+01
3.530000000000000000e+02,1.810208333333334352e+01
3.540000000000000000e+02,1.897083333333335986e+01
3.550000000000000000e+02,1.933854166666668561e+01
3.560000000000000000e+02,1.930486111111111924e+01
3.570000000000000000e+02,1.892638888888891202e+01
3.580000000000000000e+02,1.831979166666665648e+01
3.590000000000000000e+02,1.851979166666668419e+01
3.600000000000000000e+02,1.928298611111112848e+01
3.610000000000000000e+02,1.995243055555557632e+01
3.620000000000000000e+02,1.993576388888889639e+01
3.630000000000000000e+02,1.916701388888887791e+01
3.640000000000000000e+02,1.931597222222223209e+01
3.650000000000000000e+02,1.877743055555555074e+01
3.660000000000000000e+02,1.823437500000000711e+01
3.670000000000000000e+02,1.854027777777779207e+01
3.680000000000000000e+02,1.830451388888889142e+01
3.690000000000000000e+02,1.768611111111109224e+01
3.700000000000000000e+02,1.815694444444447697e+01
3.710000000000000000e+02,1.805520833333336483e+01
3.720000000000000000e+02,1.862881944444445637e+01
3.730000000000000000e+02,1.938472222222223351e+01
3.740000000000000000e+02,1.985312499999998792e+01
3.750000000000000000e+02,1.965486111111108158e+01
3.760000000000000000e+02,1.804097222222222996e+01
3.770000000000000000e+02,1.752638888888888502e+01
3.780000000000000000e+02,1.747048611111112848e+01
3.790000000000000000e+02,1.803194444444443434e+01
3.800000000000000000e+02,1.792951388888889142e+01
3.810000000000000000e+02,1.850034722222219941e+01
3.820000000000000000e+02,1.905104166666668419e+01
3.830000000000000000e+02,1.862083333333334068e+01
3.840000000000000000e+02,1.915868055555553795e+01
3.850000000000000000e+02,1.901284722222218448e+01
3.860000000000000000e+02,1.962534722222220651e+01
3.870000000000000000e+02,1.987812499999999005e+01
3.880000000000000000e+02,2.041909722222223067e+01
3.890000000000000000e+02,1.943923611111112493e+01
3.900000000000000000e+02,1.917187500000000711e+01
3.910000000000000000e+02,1.942673611111111853e+01
3.920000000000000000e+02,1.872500000000000497e+01
3.930000000000000000e+02,1.831076388888891771e+01
3.940000000000000000e+02,1.754479166666666146e+01
3.950000000000000000e+02,1.787361111111109935e+01
3.960000000000000000e+02,1.847048611111111072e+01
3.970000000000000000e+02,1.915347222222223067e+01
3.980000000000000000e+02,1.969409722222221504e+01
3.990000000000000000e+02,1.989166666666665506e+01
4.000000000000000000e+02,1.900555555555554221e+01
4.010000000000000000e+02,1.874618055555554363e+01
4.020000000000000000e+02,1.793680555555558342e+01
4.030000000000000000e+02,1.881666666666666998e+01
4.040000000000000000e+02,1.928923611111112990e+01
4.050000000000000000e+02,1.908194444444444926e+01
4.060000000000000000e+02,1.969236111111110787e+01
4.070000000000000000e+02,1.891631944444443292e+01
4.080000000000000000e+02,1.940624999999998934e+01
4.090000000000000000e+02,1.929618055555556211e+01
4.100000000000000000e+02,1.871006944444443576e+01
4.110000000000000000e+02,1.934444444444444855e+01
4.120000000000000000e+02,1.798888888888888715e+01
4.130000000000000000e+02,1.791388888888890207e+01
4.140000000000000000e+02,1.754722222222222072e+01
4.150000000000000000e+02,1.774201388888889852e+01
4.160000000000000000e+02,1.844062500000002913e+01
