# column 0 is pixels, column 1 is signal
1.110000000000000000e+02,2.127951388888887863e+01
1.120000000000000000e+02,2.204374999999999574e+01
1.130000000000000000e+02,2.148819444444443860e+01
1.140000000000000000e+02,2.193437500000000639e+01
1.150000000000000000e+02,2.029097222222225128e+01
1.160000000000000000e+02,2.280833333333331581e+01
1.170000000000000000e+02,2.216458333333332931e+01
1.180000000000000000e+02,2.327152777777776294e+01
1.190000000000000000e+02,2.248159722222224843e+01
1.200000000000000000e+02,2.183333333333335347e+01
1.210000000000000000e+02,2.173263888888889994e+01
1.220000000000000000e+02,2.193784722222223849e+01
1.230000000000000000e+02,2.091840277777778212e+01
1.240000000000000000e+02,2.211770833333331510e+01
1.250000000000000000e+02,2.104791666666665861e+01
1.260000000000000000e+02,2.157569444444443718e+01
1.270000000000000000e+02,2.081145833333332362e+01
1.280000000000000000e+02,2.123472222222221362e+01
1.290000000000000000e+02,2.081076388888890705e+01
1.300000000000000000e+02,2.196805555555553369e+01
1.310000000000000000e+02,2.127881944444443008e+01
1.320000000000000000e+02,2.265833333333331723e+01
1.330000000000000000e+02,2.174513888888891344e+01
1.340000000000000000e+02,2.251805555555553440e+01
1.350000000000000000e+02,2.129444444444441231e+01
1.360000000000000000e+02,2.131249999999996803e+01
1.370000000000000000e+02,2.115312499999998508e+01
1.380000000000000000e+02,2.248888888888885518e+01
1.390000000000000000e+02,2.159513888888884381e+01
1.400000000000000000e+02,2.266597222222221575e+01
1.410000000000000000e+02,2.101701388888889355e+01
1.420000000000000000e+02,2.089270833333331723e+01
1.430000000000000000e+02,2.024479166666667851e+01
1.440000000000000000e+02,2.171319444444442581e+01
1.450000000000000000e+02,2.020104166666664014e+01
1.460000000000000000e+02,2.101805555555554506e+01
1.470000000000000000e+02,1.988923611111112066e+01
1.480000000000000000e+02,1.911388888888887294e+01
1.490000000000000000e+02,1.854722222222223493e+01
1.500000000000000000e+02,1.957465277777777501e+01
1.510000000000000000e+02,1.962569444444442723e+01
1.520000000000000000e+02,2.144722222222221220e+01
1.530000000000000000e+02,2.110763888888888218e+01
1.540000000000000000e+02,2.124965277777777928e+01
1.550000000000000000e+02,2.064652777777776294e+01
1.560000000000000000e+02,2.174131944444445708e+01
1.570000000000000000e+02,2.130833333333331225e+01
1.580000000000000000e+02,2.118090277777777075e+01
1.590000000000000000e+02,2.030416666666667780e+01
1.600000000000000000e+02,2.120381944444447342e+01
1.610000000000000000e+02,2.095868055555556353e+01
1.620000000000000000e+02,2.317916666666668135e+01
1.630000000000000000e+02,2.280069444444445992e+01
1.640000000000000000e+02,2.284618055555556992e+01
1.650000000000000000e+02,2.171284722222223706e+01
1.660000000000000000e+02,2.067048611111108514e+01
1.670000000000000000e+02,2.060416666666663943e+01
1.680000000000000000e+02,2.025868055555554648e+01
1.690000000000000000e+02,2.050277777777776933e+01
1.700000000000000000e+02,2.129270833333330160e+01
1.710000000000000000e+02,2.059062500000001350e+01
1.720000000000000000e+02,2.225416666666666998e+01
1.730000000000000000e+02,2.103750000000001208e+01
1.740000000000000000e+02,2.243402777777772172e+01
1.750000000000000000e+02,2.127326388888887010e+01
1.760000000000000000e+02,2.190694444444443434e+01
1.770000000000000000e+02,2.088333333333332220e+01
1.780000000000000000e+02,2.160729166666668277e+01
1.790000000000000000e+02,2.123750000000000782e+01
1.800000000000000000e+02,2.229965277777778709e+01
1.810000000000000000e+02,2.143263888888888147e+01
1.820000000000000000e+02,2.243020833333334707e+01
1.830000000000000000e+02,2.184618055555555216e+01
1.840000000000000000e+02,2.327777777777776791e+01
1.850000000000000000e+02,2.223958333333331439e+01
1.860000000000000000e+02,2.294826388888888502e+01
1.870000000000000000e+02,2.153055555555555856e+01
1.880000000000000000e+02,2.141840277777777146e+01
1.890000000000000000e+02,2.119548611111110148e+01
1.900000000000000000e+02,2.277569444444442226e+01
1.910000000000000000e+02,2.201041666666664653e+01
1.920000000000000000e+02,2.367534722222221433e+01
1.930000000000000000e+02,2.258090277777777288e+01
1.940000000000000000e+02,2.356493055555558058e+01
1.950000000000000000e+02,2.252222222222225056e+01
1.960000000000000000e+02,2.227361111111110503e+01
1.970000000000000000e+02,2.163715277777776436e+01
1.980000000000000000e+02,2.292916666666663872e+01
1.990000000000000000e+02,2.222118055555554150e+01
2.000000000000000000e+02,2.240694444444444855e+01
2.010000000000000000e+02,2.175312500000001137e+01
2.020000000000000000e+02,2.151354166666667211e+01
2.030000000000000000e+02,2.085451388888889568e+01
2.040000000000000000e+02,2.187534722222223493e+01
2.050000000000000000e+02,2.134756944444446347e+01
2.060000000000000000e+02,2.253541666666664156e+01
2.070000000000000000e+02,2.194756944444444713e+01
2.080000000000000000e+02,2.348125000000000284e+01
2.090000000000000000e+02,2.297500000000000497e+01
2.100000000000000000e+02,2.305243055555555287e+01
2.110000000000000000e+02,2.246527777777777146e+01
2.120000000000000000e+02,2.258888888888887791e+01
2.130000000000000000e+02,2.233020833333334210e+01
2.140000000000000000e+02,2.341736111111113061e+01
2.150000000000000000e+02,2.292326388888890065e+01
2.160000000000000000e+02,2.350138888888887578e+01
2.170000000000000000e+02,2.271145833333332575e+01
